iter	RMSE
0	1.12445182
1	1.095022127
2	1.065184413
3	1.037544901
4	1.012488384
5	0.9886345463
6	0.9668518623
7	0.9458919937
8	0.9258763777
9	0.9074462137
10	0.8905280646
11	0.8740971982
12	0.8586524773
13	0.8446461965
14	0.8303469095
15	0.8146065544
16	0.800432477
17	0.7893193229
18	0.7782809619
19	0.7680253124
20	0.7582570943
21	0.7482485923
22	0.7379869384
23	0.7299582989
24	0.7217483031
25	0.7145336858
26	0.7082475591
27	0.7012131786
28	0.6938237641
29	0.6867562669
30	0.681535822
31	0.6762652322
32	0.6708516426
33	0.6656791556
34	0.6614204988
35	0.6574019896
36	0.6530791253
37	0.6495529852
38	0.6447695839
39	0.6409468203
40	0.63557169
41	0.6326705404
42	0.6291230954
43	0.6265878837
44	0.6237166798
45	0.6208842689
46	0.6171299594
47	0.6145365929
48	0.6125141025
49	0.6090265571
50	0.6069353233
51	0.6047743642
52	0.601459355
53	0.5997436868
54	0.5974970528
55	0.5948783368
56	0.5926698836
57	0.5899129211
58	0.5884828256
59	0.5870976578
60	0.5846796563
61	0.5833298707
62	0.5818622497
63	0.5795378795
64	0.5776206604
65	0.5760333182
66	0.5750460749
67	0.574058236
68	0.572039292
69	0.5709699876
70	0.5696363828
71	0.5677278473
72	0.5660531988
73	0.5653299375
74	0.5642408297
75	0.5621695914
76	0.5602826097
77	0.5590768157
78	0.5584765505
79	0.556844174
80	0.5559285043
81	0.5549746625
82	0.5540200829
83	0.5526225538
84	0.5515828578
85	0.5507581904
86	0.5498666742
87	0.5493309278
88	0.5485953683
89	0.5481650129
90	0.5471666553
91	0.5459503797
92	0.5452777985
93	0.5444080947
94	0.5434882412
95	0.5422675051
96	0.5415576613
97	0.5405092367
98	0.5392699767
99	0.5379543209
100	0.5369822784
101	0.536358043
102	0.5356332715
103	0.5350765542
104	0.5346978991
105	0.5339196729
106	0.5332621687
107	0.532535056
108	0.5318823886
109	0.5316162673
110	0.5304876397
111	0.5297898291
112	0.5292281971
113	0.5284968904
114	0.5280518274
115	0.5275659922
116	0.5270029455
117	0.5264119921
118	0.5259321627
119	0.5254644572
120	0.5250110431
121	0.5241552801
122	0.5236072023
123	0.5231793643
124	0.5224714265
125	0.5219695082
126	0.5215371494
127	0.521045748
128	0.5199261858
129	0.5191029077
130	0.5184585972
131	0.5180628516
132	0.5177660587
133	0.5172373683
134	0.5167798781
135	0.5162643513
136	0.5158957937
137	0.5152502574
138	0.5145964432
139	0.5142082387
140	0.5136168855
141	0.5130257803
142	0.5127291614
143	0.5124285224
144	0.5119311095
145	0.5115128234
146	0.5111307123
147	0.5108612703
148	0.5102824323
149	0.509961113
150	0.5095372993
151	0.5090655591
152	0.5087395954
153	0.5082976971
154	0.5078511628
155	0.5075039817
156	0.5072267036
157	0.5068825301
158	0.5066356017
159	0.5062938259
160	0.5058900775
161	0.5053241622
162	0.5049763487
163	0.5045939102
164	0.5042877545
165	0.5034884808
166	0.5031639125
167	0.5024133633
168	0.5019192134
169	0.5015755436
170	0.5011875165
171	0.5008438576
172	0.5005003484
173	0.5002602304
174	0.5000108958
175	0.4993339999
176	0.4989864958
177	0.4987026963
178	0.4982849344
179	0.4978731921
180	0.4975130374
181	0.4972569462
182	0.4969534196
183	0.49647432
184	0.4960762278
185	0.4958001467
186	0.4954649753
187	0.4950861302
188	0.4946908414
189	0.4943280633
190	0.4939418171
191	0.493643391
192	0.4932938183
193	0.4930456629
194	0.4926341468
195	0.4922561735
196	0.4919830164
197	0.4915543409
198	0.4910244253
199	0.4903855019
