iter	Passed	Remaining
0	137	27275
1	143	14195
2	149	9819
3	154	7549
4	158	6185
5	162	5257
6	166	4587
7	169	4077
8	173	3675
9	176	3350
10	179	3088
11	182	2866
12	186	2682
13	190	2525
14	193	2384
15	196	2261
16	200	2155
17	203	2060
18	208	1984
19	212	1910
20	216	1841
21	219	1778
22	223	1719
23	226	1663
24	230	1613
25	233	1565
26	237	1520
27	240	1477
28	243	1435
29	246	1396
30	249	1359
31	252	1326
32	255	1293
33	258	1262
34	261	1233
35	264	1205
36	268	1181
37	272	1160
38	275	1137
39	278	1113
40	281	1091
41	284	1069
42	287	1048
43	290	1028
44	292	1008
45	295	987
46	297	969
47	300	950
48	302	932
49	305	915
50	307	899
51	310	882
52	312	866
53	314	851
54	317	836
55	319	822
56	322	808
57	324	794
58	327	781
59	329	768
60	332	756
61	335	747
62	339	737
63	342	726
64	344	715
65	347	704
66	349	693
67	351	682
68	354	672
69	356	662
70	358	651
71	361	642
72	363	632
73	366	623
74	368	614
75	370	604
76	373	596
77	375	587
78	377	578
79	380	570
80	383	563
81	385	555
82	389	548
83	391	540
84	394	533
85	397	526
86	400	520
87	403	513
88	405	506
89	408	499
90	410	492
91	413	485
92	416	479
93	419	472
94	421	466
95	424	459
96	426	452
97	428	446
98	430	439
99	433	433
100	436	427
101	439	421
102	441	416
103	444	410
104	446	404
105	448	397
106	451	392
107	453	386
108	456	380
109	459	375
110	461	370
111	464	364
112	467	359
113	470	354
114	472	349
115	475	344
116	477	338
117	480	333
118	482	328
119	485	323
120	487	318
121	489	313
122	492	308
123	494	303
124	497	298
125	499	293
126	502	288
127	504	283
128	506	278
129	509	274
130	512	269
131	514	265
132	518	261
133	521	256
134	523	252
135	526	247
136	528	243
137	531	238
138	533	234
139	536	229
140	538	225
141	541	221
142	543	216
143	545	212
144	548	207
145	550	203
146	553	199
147	555	195
148	558	191
149	560	186
150	562	182
151	565	178
152	567	174
153	570	170
154	572	166
155	575	162
156	579	158
157	582	154
158	585	150
159	588	147
160	590	143
161	593	139
162	595	135
163	598	131
164	601	127
165	604	123
166	606	119
167	609	116
168	611	112
169	614	108
170	616	104
171	619	100
172	621	96
173	623	93
174	626	89
175	628	85
176	631	82
177	633	78
178	636	74
179	638	70
180	642	67
181	645	63
182	648	60
183	650	56
184	653	52
185	655	49
186	658	45
187	660	42
188	662	38
189	665	35
190	667	31
191	670	27
192	672	24
193	675	20
194	677	17
195	680	13
196	682	10
197	685	6
198	687	3
199	690	0
